iShares U.S. Technology ETF
Fund Holdings as of,"Jul 23, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"127,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","3,003,205,482.20","15.63","3,003,205,482.20","6,751,052.00","444.85","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,980,202,547.56","15.51","2,980,202,547.56","13,244,756.00","225.01","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,650,963,636.88","13.79","2,650,963,636.88","21,624,632.00","122.59","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","685,091,090.17","3.56","685,091,090.17","1,401,893.00","488.69","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","580,878,105.78","3.02","580,878,105.78","3,546,914.00","163.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","494,426,079.35","2.57","494,426,079.35","2,719,765.00","181.79","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","428,459,108.00","2.23","428,459,108.00","2,782,202.00","154.00","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","422,742,782.40","2.20","422,742,782.40","774,240.00","546.01","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","418,430,826.00","2.18","418,430,826.00","2,279,035.00","183.60","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","414,964,434.50","2.16","414,964,434.50","1,620,575.00","256.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","388,500,573.89","2.02","388,500,573.89","2,714,699.00","143.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","373,171,493.85","1.94","373,171,493.85","1,930,031.00","193.35","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","315,831,659.90","1.64","315,831,659.90","1,437,886.00","219.65","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","311,931,188.74","1.62","311,931,188.74","1,573,106.00","198.29","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","300,657,046.50","1.56","300,657,046.50","471,915.00","637.10","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","291,893,127.40","1.52","291,893,127.40","1,585,514.00","184.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","271,649,365.12","1.41","271,649,365.12","354,856.00","765.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","242,671,115.55","1.26","242,671,115.55","7,364,829.00","32.95","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","217,660,074.25","1.13","217,660,074.25","1,905,121.00","114.25","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","216,643,299.67","1.13","216,643,299.67","225,743.00","959.69","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","197,230,386.24","1.03","197,230,386.24","856,332.00","230.32","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","187,997,402.88","0.98","187,997,402.88","232,768.00","807.66","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","178,576,643.00","0.93","178,576,643.00","532,175.00","335.56","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","154,707,256.80","0.80","154,707,256.80","262,960.00","588.33","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","135,244,147.38","0.70","135,244,147.38","2,041,113.00","66.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","133,287,441.03","0.69","133,287,441.03","470,997.00","282.99","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","105,947,646.57","0.55","105,947,646.57","184,491.00","574.27","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","101,357,811.44","0.53","101,357,811.44","376,963.00","268.88","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","101,262,337.40","0.53","101,262,337.40","1,480,660.00","68.39","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","100,141,889.02","0.52","100,141,889.02","3,475,942.00","28.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","91,657,147.66","0.48","91,657,147.66","372,242.00","246.23","United States","NASDAQ","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","82,654,916.60","0.43","82,654,916.60","365,665.00","226.04","United States","NASDAQ","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","82,180,819.12","0.43","82,180,819.12","916,072.00","89.71","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC CLASS A","Information Technology","Equity","72,427,446.00","0.38","72,427,446.00","546,210.00","132.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","68,676,860.99","0.36","68,676,860.99","81,139.00","846.41","United States","NASDAQ","USD","1.00","USD","-"
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","67,045,198.44","0.35","67,045,198.44","85,602.00","783.22","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","63,716,437.53","0.33","63,716,437.53","1,689,643.00","37.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","63,627,492.15","0.33","63,627,492.15","516,415.00","123.21","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","63,535,942.08","0.33","63,535,942.08","859,872.00","73.89","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","63,376,574.24","0.33","63,376,574.24","599,249.00","105.76","United States","NASDAQ","USD","1.00","USD","-"
